Na	K	Ca	Mg	C(4)	Alkalinity_CO3_2	S(6)_SO4_2	Cl	Fe	F	Si_SiO2	pH
0.010080198	0.423789832	0.608876753	0.392426775	0.414199935	0.127374102	0.0051123	0.110972019	0.010837483	0.018869605	0.583045004	8.578306729
0.004026602	0.340074358	0.369201038	0.534144543	0.435675017	0.349234976	0.004065984	0.012364223	0.077817357	0.005682416	0.615762166	5.945769957
0.008698815	0.359565339	0.287182713	0.642342583	0.438517068	0.206994872	0.004927686	0.090184616	0.015821842	0.013071319	0.697611146	5.388341158
0.005536694	0.396558827	0.695373107	0.350438658	0.494365723	0.208465766	0.003380204	0.016997236	0.006008956	0.018256032	0.578865307	8.26431567
0.014415063	0.601365316	0.294852436	0.335260933	0.579938132	0.295639875	0.006096686	0.04923878	0.01072165	0.029862831	0.576713657	7.916740684
0.009647339	0.308125532	0.613218541	0.449773166	0.537822757	0.300870898	0.004357997	0.012708029	0.033725067	0.012766464	0.517785958	5.893006078
0.012352617	0.350330867	0.335721298	0.271129503	0.752288971	0.155095373	0.009713428	0.097140847	0.019139565	0.007981517	0.83272266	6.376850372
0.008995862	0.650328888	0.344114246	0.493908424	0.493498613	0.226192975	0.009917667	0.03825952	0.011042357	0.008387873	0.578325446	6.334199862
0.021119325	0.553166499	0.50072575	0.261982073	0.407839632	0.276808805	0.007671124	0.037763931	0.007219438	0.017813147	0.783389372	8.016706939
0.005665218	0.469970005	0.409121847	0.566062749	0.540712177	0.241867718	0.004375266	0.063326322	0.012238312	0.023176199	0.584907134	9.18719796
0.015895175	0.384697521	0.338494389	0.399796994	0.558536935	0.217174731	0.006626267	0.120535786	0.071072641	0.027759112	0.786542568	5.345771795
0.014759168	0.424614453	0.287394142	0.423954521	0.653666595	0.283036117	0.011073356	0.199641412	0.042091534	0.010433505	0.582069973	7.7025938
0.009174401	0.446558942	0.556279684	0.321723675	0.580282014	0.220876898	0.005739785	0.130887395	0.01579738	0.039151732	0.684385957	5.00244858
0.007068048	0.412514865	0.421613868	0.286113221	0.642489554	0.281997283	0.007417291	0.035462248	0.005685008	0.010716728	0.929663926	5.567371426
0.009860256	0.370954912	0.717839527	0.473034951	0.473534756	0.173743726	0.006916604	0.057364858	0.020438108	0.010568022	0.769021293	6.568866401
0.008810672	0.605214399	0.429782706	0.392520404	0.52695788	0.282364887	0.004295047	0.064470413	0.007866222	0.013373502	0.753575366	9.282106803
0.012385183	0.374990287	0.356000281	0.278949331	0.692921557	0.164251631	0.012462692	0.054559965	0.005815795	0.043655918	1.166066259	5.366224129
0.039523997	0.442010372	0.309258245	0.3718421	0.937976801	0.414820669	0.006039332	0.048594616	0.062692291	0.027370247	0.583497699	8.387006281
0.008537121	0.491780313	0.328793038	0.734316432	0.713427994	0.202756204	0.004908329	0.076912672	0.056202099	0.007992693	0.630815092	8.36191628
0.036399942	0.534724532	0.421815854	0.418040981	0.616603141	0.276463058	0.007840693	0.187837634	0.011877474	0.008249756	0.761360106	7.979680213
0.030725113	0.380037068	0.944153224	0.261215751	0.792189786	0.210766858	0.004495316	0.016389143	0.005390737	0.007880482	0.631262662	9.081643909
0.006253019	0.463863555	0.504749474	0.453152892	0.800860136	0.320792364	0.005332681	0.017114641	0.034989059	0.018751938	0.730604291	7.319876649
0.012818474	0.692683519	0.518258255	0.470403611	0.638775743	0.198308769	0.007718218	0.018924427	0.008695093	0.008341785	0.793999513	8.261486289
0.013748397	0.361448475	0.724644088	0.420309511	0.704847308	0.366683898	0.015034303	0.106659122	0.008879282	0.010789525	0.668653225	5.789830347
0.013750397	0.493513053	0.58634985	0.458263834	0.88614132	0.2130199	0.006180107	0.019959123	0.008812269	0.048742284	0.686224829	7.770367806
0.034799537	0.562528234	0.525957314	0.346613624	0.820697421	0.248609322	0.011616985	0.121342932	0.064679991	0.013328522	0.702895325	6.967114416
0.038532189	0.597712928	0.499555409	0.522869553	0.650940544	0.186729815	0.005822311	0.082017399	0.031958104	0.03583224	0.814273181	8.337026081
0.034648619	0.54076038	0.325094006	0.321614064	1.007037711	0.501162566	0.00698592	0.019146632	0.009158285	0.054230727	0.658213404	7.18406599
0.023839356	0.613385955	0.4594767	0.396623098	0.806221698	0.253591293	0.014354114	0.043116768	0.07477119	0.038284905	0.755337504	7.822346704
0.032966182	0.512755762	0.500639773	0.349424384	0.923617272	0.424053426	0.009054782	0.028419485	0.007011585	0.01951882	0.71522691	9.467152627
0.009434514	0.607706827	0.407931864	0.530140008	0.694871166	0.200886184	0.01174925	0.272385758	0.034602338	0.0479707	0.743378311	6.204642974
0.019397985	0.520706826	0.403350214	0.423777843	0.609539391	0.387963479	0.015779166	0.049037215	0.087520959	0.033027056	1.029551732	9.268711657
0.02153144	0.55570901	0.585025504	0.427858449	0.82523142	0.289060374	0.008605818	0.081228531	0.023768869	0.010118828	0.775649039	7.867930128
0.009068629	0.445324354	0.44997667	0.585664411	0.909073889	0.217444635	0.008368458	0.062815291	0.019418452	0.014317285	0.93867287	5.179662683
0.037255029	0.424763547	0.43930521	1.100093849	0.606317292	0.311697864	0.015480161	0.046067982	0.009176986	0.008578769	0.730338454	6.170080416
0.060981177	0.45260642	0.502982994	0.565697508	0.902140596	0.45752718	0.008829327	0.065239237	0.01864765	0.027430765	0.744723139	9.287896934
0.045916116	0.669095826	0.436613311	0.582194887	0.695967468	0.435332148	0.007436409	0.03709339	0.061378551	0.030454651	0.80759437	5.161057261
0.008998981	0.638702561	0.626972841	0.432081057	1.018976526	0.201203661	0.012612312	0.0333573	0.082304136	0.011511458	0.778470457	9.083330658
0.044617741	0.611000417	0.56743575	0.415967646	0.840494675	0.279077254	0.011139977	0.093803415	0.026546397	0.025883973	0.955868329	6.444402065
0.039395392	0.690963042	0.797136309	0.543775847	0.796377462	0.213201192	0.013950584	0.021702548	0.030570946	0.0105268	0.744800926	8.638521285
0.009964418	0.440647184	0.401063554	0.838024342	0.815516674	0.277670162	0.013416556	0.287617799	0.046272719	0.023483358	0.757780998	8.334194753
0.01926936	0.473549663	0.925761928	0.577138916	0.729275326	0.221580022	0.010423289	0.029062564	0.013499939	0.009742288	0.934987917	8.090245289
0.028700715	0.504079441	0.876990867	0.407354162	0.882139462	0.368425577	0.017256785	0.076179113	0.020700458	0.038934523	0.83453039	5.60976341
0.033577405	0.544224323	0.636564971	0.776873731	0.726695874	0.442937784	0.006705057	0.047324404	0.108670294	0.044500829	0.752683657	6.685528285
0.029788674	0.856234686	0.478047766	0.472831057	0.84995892	0.274352969	0.013651694	0.311817359	0.022873269	0.051242213	0.788014221	9.379194217
0.057655161	0.510487928	0.887551969	0.390506823	0.791774012	0.571472143	0.020196029	0.027885907	0.007326331	0.038854286	0.867422876	8.098450983
0.061169652	0.400930416	0.552788885	0.303820721	0.969417428	0.462793324	0.018217469	0.043255408	0.012212147	0.028966894	1.317635434	7.470342694
0.010882813	0.673622992	0.984474085	0.352849946	0.752384047	0.39918525	0.021180345	0.020247058	0.008958847	0.010329105	0.948141802	5.240188172
0.020179696	0.722614679	0.433895132	0.330910935	1.206603514	0.378419159	0.019127244	0.06238393	0.048234798	0.014286651	0.961722261	9.015096216
0.028520822	0.675178736	0.424191716	0.787962021	0.945602984	0.40189719	0.008325589	0.056901298	0.05740046	0.046585778	0.792425072	6.258094284
0.018074194	1.036874118	0.381328375	0.514162245	1.176354007	0.277855843	0.020881503	0.125069054	0.008952505	0.041813683	0.632628601	5.190923418
0.010563914	0.915787383	0.6077731	0.518196622	0.902756471	0.275865604	0.008019514	0.031056982	0.018447538	0.021118662	0.942538917	7.729143991
0.014332463	0.708212139	0.559710518	0.470254492	1.126163534	0.395862186	0.009969723	0.026622553	0.028145417	0.018107819	1.032476557	8.776705501
0.01686097	0.633568851	0.73263154	0.734182515	0.964968283	0.319056299	0.019524427	0.042365435	0.037979022	0.01738927	0.878075228	7.665371143
0.058172369	0.675840375	0.607918426	0.516915762	0.80758299	0.581762844	0.0139621	0.041992645	0.021725845	0.031680783	1.04356741	9.447283469
0.015801354	0.463058564	0.524091547	0.450182494	0.828138671	0.339647009	0.018273081	0.076694137	0.068927827	0.040019986	1.581032965	8.307644054
0.088222549	0.459502249	0.407893973	0.355814082	1.06681681	0.434187678	0.011697855	0.099735358	0.015937545	0.047850897	1.466897022	5.8299845
0.022373287	0.421441167	0.520581706	0.658357751	0.941845088	0.590642708	0.018943824	0.026287051	0.068022562	0.036075143	1.154004164	8.437361082
0.02021574	0.441133492	0.452161167	0.631465381	1.331800293	0.394690331	0.016173793	0.031018021	0.130180635	0.018507126	1.00805665	6.942818024
0.034921859	0.568522201	0.949938278	0.248953258	0.859832842	0.633549384	0.011121551	0.225410054	0.054094797	0.032527153	0.861969613	6.214058742
0.029150319	0.563461563	0.448028264	1.24423651	0.816292927	0.227900179	0.020101294	0.295247613	0.007627111	0.02911345	0.837420628	8.120433749
0.02132316	0.5667087	0.454145134	0.79085257	0.783846641	0.251874886	0.010486895	0.237117854	0.076859724	0.071064181	1.282560951	8.016545777
0.016483394	0.412448598	0.795306182	0.883373629	1.174099353	0.287186801	0.013378202	0.051889569	0.02478001	0.018498976	0.918713669	5.205533789
0.016292919	0.491600268	0.847726182	0.640027618	1.010534178	0.367140819	0.018572599	0.037889232	0.014242827	0.058983957	1.129963051	7.530412046
0.036967522	0.633966138	0.462112718	0.372757329	1.591671568	0.406590053	0.012294599	0.199591871	0.029753716	0.018155554	0.884022136	8.976759169
0.017476361	0.465333801	1.092681505	0.573439588	1.064621666	0.268137198	0.012155913	0.046118691	0.027477037	0.011103618	1.083262792	6.529643573
0.014393434	0.615135122	0.805284518	0.320868905	1.634961684	0.26033745	0.012236496	0.053366639	0.066281922	0.022467478	0.945968097	9.286979097
0.018316623	0.732096426	0.724931115	0.540526012	0.995858526	0.363701668	0.01070506	0.253223554	0.121574397	0.063381866	0.941519526	9.38869993
0.035212315	0.645441685	0.531914483	1.02826503	0.974789042	0.338570491	0.020169747	0.062816025	0.076581407	0.026060693	1.049840156	5.367372648
0.021630568	1.097251276	0.565019599	0.764309474	1.062956207	0.380984565	0.008914328	0.049787586	0.012532235	0.017187846	0.826835385	6.752719723
0.061944742	0.953193022	0.545253239	0.524690664	1.047476496	0.359798703	0.023101977	0.089378646	0.037461214	0.07453302	1.093269667	7.54643135
0.035468475	0.528503149	0.616235707	0.385971082	1.598794449	0.581858573	0.028594312	0.173909251	0.047342587	0.032065747	0.8081867	6.652730875
0.065858959	0.419541124	0.382629185	1.138450031	0.914572789	0.876386633	0.017018362	0.039397797	0.067829916	0.027296852	0.932965142	6.180871082
0.030029609	0.615621537	0.705113214	1.078505405	0.99384578	0.577258063	0.009511214	0.046903217	0.008529006	0.067712284	0.796012597	9.364851316
0.025031293	0.883568113	0.642673681	0.259843	1.186991727	0.818649483	0.023062799	0.106830825	0.033730201	0.051903789	0.9735142	7.437581717
0.01629627	0.558361164	0.493408729	0.805612655	1.066102009	0.473470502	0.023858404	0.213771909	0.020485152	0.020130615	1.384099756	9.46732573
0.040774951	1.012364406	0.722545136	0.802281263	1.038532843	0.506796343	0.025294993	0.042507169	0.008081366	0.028213824	0.863217163	7.401594052
0.018322947	0.722845806	0.973455828	0.360056952	1.217402544	0.528215637	0.029392783	0.157985116	0.05646298	0.01925721	1.078859172	5.578136436
0.035392183	0.750076564	1.309363919	0.448154135	1.20469573	0.337328092	0.012052938	0.048861664	0.049263172	0.026548182	1.01699218	5.465696213
0.084488705	0.558091676	0.644339592	0.560138084	1.209803984	0.833583572	0.013962742	0.121793449	0.007966475	0.0262737	1.231621004	9.123156327
0.026501197	0.846570519	0.828062996	0.798035028	1.091984382	0.5512242	0.019641213	0.083972113	0.033944507	0.042740636	0.998538538	6.004464806
0.039540902	0.568334936	0.874117639	0.386511168	1.7002397	0.473450902	0.036294582	0.039516714	0.014669618	0.016645542	1.224608799	9.025305688
0.059045111	0.706646108	0.538741705	0.649755047	1.441519235	0.820514139	0.038163274	0.185163413	0.039532618	0.05121233	1.041791474	6.3915083
0.073473206	0.473456891	0.508970818	0.324737226	2.49018314	0.382620727	0.022152859	0.091082351	0.036394306	0.03640307	1.134797855	7.176738747
0.044279703	0.46364202	1.154041415	0.717412924	1.158162266	0.352135763	0.02664953	0.12427575	0.032373462	0.062898251	1.475995097	7.791493872
0.087617333	1.13541023	0.814883022	0.345788708	1.055556725	0.628652485	0.017567046	0.264619844	0.084414371	0.036142277	1.145012185	5.030994178
0.040387875	1.411668543	0.580764578	0.361184294	1.389097272	0.397772732	0.022912116	0.121907687	0.030117977	0.026339871	1.288923798	6.10438048
0.046710902	0.559111493	1.036084087	0.86210501	1.150868383	0.526071395	0.013757482	0.041689849	0.011527095	0.0554414	1.388335898	8.974597485
0.10558062	1.325206989	0.812006968	0.459585461	1.119256297	0.482379533	0.019830715	0.086727983	0.035269205	0.043893403	1.236918403	8.966746274
0.030833079	1.359023637	0.544700075	0.824680057	1.24276624	0.4023421	0.028737421	0.069806068	0.051121002	0.039041092	1.244744386	8.115678132
0.045898237	0.443524933	1.306276313	0.52499745	1.599295897	0.423876713	0.025928028	0.368562553	0.013483246	0.034066184	1.058374714	6.44032287
0.061771029	0.456832681	0.539122342	0.835804747	1.975580915	0.391612069	0.01735852	0.057470077	0.045577306	0.017365935	1.450987985	8.313768575
0.072716455	2.063335614	0.558613857	0.333687941	1.243596978	0.540445518	0.024748687	0.034426434	0.015313936	0.047691287	1.025886475	8.987126422
0.059528725	1.686518603	0.494809999	0.471557296	1.339634138	0.61785157	0.021409286	0.165158506	0.009478616	0.015001341	1.15039623	6.534145416
0.022966186	1.256672545	0.878571525	0.592520351	1.202504899	0.457342246	0.038277738	0.105130158	0.025445784	0.081808211	1.372994144	5.706868073
0.038029441	1.120245381	0.732690207	0.590076925	1.557676224	0.65001623	0.014710508	0.039539387	0.126568943	0.058509275	1.192583589	6.109302716
0.04296709	0.597042608	0.826849735	1.024206183	1.655416572	0.554569549	0.023240445	0.088938908	0.035756439	0.014696165	1.266744106	8.511680068
0.033267007	0.581027201	1.296296604	0.390675004	1.177453454	0.821537882	0.024557242	0.059986954	0.017224895	0.035741361	1.699716539	5.166654764
0.098528041	0.434136996	0.797352425	1.179422327	1.460518767	0.51514587	0.029493429	0.039379878	0.073241513	0.037749255	1.53450781	9.19446789
0.026214826	0.795001146	0.540092273	0.340141017	1.922897269	0.837606509	0.028279866	0.154376616	0.088333399	0.0572636	1.476789351	5.668963411
0.069427363	0.94293037	0.679041356	0.691958154	1.671794339	0.428845656	0.021280784	0.325279337	0.085423105	0.014143895	1.499279989	5.53620881
0.13336967	0.760056559	0.845000359	0.776914085	1.534360531	0.426037387	0.018747339	0.057741523	0.011030489	0.021927441	1.93229904	7.859125292
0.106937751	0.460176164	0.507373791	1.597130332	1.452427287	0.442148145	0.021949832	0.255711267	0.108224639	0.11354249	1.558628973	7.992233195
0.041922024	0.786633537	0.466851145	0.956640195	2.29521601	0.648852896	0.017497541	0.355812252	0.006980554	0.013533986	1.090337953	9.438781676
0.207602172	0.505159466	0.620933976	0.424067572	1.798975125	0.707836026	0.025633938	0.046592105	0.158074021	0.021670497	2.199710371	5.83325903
0.092805173	1.520277066	0.500457424	0.409444852	1.987933768	0.451307441	0.031827002	0.084558086	0.088031233	0.098326698	1.489272489	8.151956699
0.041755743	0.468497617	0.593074704	0.333335257	1.674446708	0.747561334	0.046529671	0.073874069	0.005983453	0.040753041	2.730778573	9.406117473
0.035938732	1.460918169	1.159540142	0.639529899	1.653059183	0.468115246	0.047368458	0.054757505	0.104069722	0.052511178	1.090166897	8.229961474
0.041628445	0.831642397	1.126775566	0.297103423	2.719919651	0.501306973	0.017488246	0.061623939	0.045655443	0.021168453	1.107502203	6.745673814
0.041786862	0.54435919	1.484002518	0.38022558	1.454262781	0.885529107	0.020783254	0.105182169	0.042167735	0.039694809	1.827851156	9.033089251
0.071342122	0.865073345	0.460579257	0.437476936	2.235044007	0.624748145	0.02324407	0.466685105	0.137605201	0.023791372	1.55590934	6.025478926
0.078460274	0.667141977	0.625604674	0.403094335	3.076070466	0.654263437	0.053871153	0.096895578	0.019023746	0.023714084	1.345393918	7.954056785
0.096126341	1.026559999	0.784329804	0.34498608	2.172858549	0.514101176	0.035851148	0.594656027	0.115130561	0.073040871	1.326516834	5.973894888
0.17072366	0.408787789	0.715653769	0.310963904	1.421376703	0.865129128	0.029450736	0.07615458	0.016406793	0.099867602	2.987065027	7.110837603
0.038373212	0.478160903	1.038153025	1.336574772	2.102725046	0.549205896	0.021479122	0.055026651	0.094832346	0.069700431	1.322230697	6.59312983
0.110393748	0.502307408	0.648747378	0.398889652	1.590641339	0.766997004	0.038565314	0.806796568	0.032520851	0.027641711	2.195850288	6.654074865
0.037962511	0.449300494	2.754267101	0.394859443	1.336525784	0.441164088	0.02147874	0.126140221	0.029479329	0.077619942	1.464209676	8.34842308
0.143432459	0.434257888	0.773368211	0.6389573	3.004202299	0.867436409	0.053303824	0.039220596	0.090148349	0.014741701	1.077284554	9.03929577
0.176943928	0.580548707	1.053119505	1.124685593	1.4341567	0.786381532	0.021640434	0.322114507	0.016864505	0.104492844	1.568507313	5.151192452
0.026715004	0.599637144	0.607588321	1.770745021	2.127200801	0.476735988	0.021816308	0.041466503	0.074474481	0.048987273	1.463672246	6.220313102
0.030524853	0.555225221	1.565840558	0.836043432	1.515538052	0.963588177	0.031371451	0.152095804	0.032723712	0.041770324	1.573485511	8.619870404
0.132992295	1.391387752	0.900307978	0.685596343	2.2900288	0.616646174	0.023865813	0.166681473	0.037378678	0.077747811	1.098522051	8.803858855
0.084702411	0.700898203	1.483370119	0.768802108	2.337143837	0.587026862	0.026891682	0.076603633	0.015429931	0.092186218	1.27360998	5.612782628
0.107998534	0.40186397	1.315474101	0.267310084	2.020069822	0.436843042	0.068471688	0.073607165	0.145434654	0.07451893	2.595769328	7.560338769
0.116765295	0.563876557	0.997306105	0.339240792	1.43261255	1.454140954	0.051066187	0.074346765	0.027409605	0.024859695	2.444751498	7.484088127
0.040713756	0.977985539	0.807405773	1.186652319	1.589036204	0.88535494	0.063627205	0.120325438	0.097449678	0.098932162	1.66213403	6.540764874
0.047138846	0.665047177	0.584114021	0.405192171	2.75586837	0.82717425	0.031485854	0.245439909	0.040628134	0.110163834	1.860520323	6.028796749
0.064744458	0.587987473	0.586500743	0.39360106	1.655809686	0.761858792	0.032703294	0.110999885	0.011152996	0.106207572	3.268791187	8.735673124
0.031042285	1.971162391	0.677089072	0.38096191	1.668287295	0.524421761	0.031841696	0.80340539	0.031377842	0.030838876	1.451241901	6.828280779
0.105803898	1.083854816	0.630081233	0.2959518	2.6831765	0.960888791	0.048477541	0.206152002	0.008055532	0.053136311	1.627625587	6.572478794
0.050929043	2.235957128	0.895330028	0.393875099	1.642187041	0.665695648	0.037792663	0.110947919	0.03924851	0.0654202	1.582936987	6.042251508
0.056413964	0.684737878	1.402342134	0.336146599	2.634223636	1.146209901	0.061660986	0.124276894	0.011640327	0.033103923	1.424815878	8.713433316
0.035290181	0.393249637	0.478855597	2.250204892	1.661595722	1.203700246	0.021744464	0.123407959	0.049198216	0.019050938	1.690387468	7.489635758
0.074447372	0.462207812	1.029487927	0.355945376	1.569663674	0.581184121	0.040490962	0.681178719	0.006302826	0.041671678	3.127004564	5.63287317
0.257156131	0.759661491	0.586728149	0.916693261	2.069234312	1.10849612	0.073375196	0.04877805	0.019637684	0.139137961	2.024661022	7.133816234
0.247719939	1.922230598	1.182111574	0.490477435	2.094804492	0.496720056	0.058536824	0.113208372	0.081909295	0.014726311	1.352797771	6.32012386
0.067147448	0.714795005	0.869254212	1.682111895	2.481589268	0.573457066	0.072607564	0.045207578	0.106593745	0.073786635	1.403052439	9.039014205
0.228158148	0.692191646	0.989534421	1.641598391	1.522719222	0.927205112	0.031198488	0.203315936	0.097672067	0.017639619	1.825227525	8.192462854
0.154450542	0.527744467	0.496428451	0.373096936	2.022054872	0.72269742	0.034854454	0.170143538	0.029896002	0.014693213	3.684553582	5.112717596
0.095865199	1.967353062	0.501925491	0.647570803	2.646712294	0.703603308	0.057383612	0.474478604	0.005323784	0.121041665	1.190385497	6.998095856
0.087136442	0.476756287	0.744296088	0.28448397	2.491531557	1.79638324	0.046462747	1.192552032	0.020556951	0.054731421	1.221428162	8.285161639
0.055132249	2.993395422	0.813034467	0.399057986	1.890547211	0.493779438	0.033633696	0.454651277	0.049862558	0.104256217	1.157237033	8.64071528
0.034074057	0.712240787	0.864584242	0.518586749	2.645823672	1.436844755	0.070699218	0.068932764	0.090755013	0.059842091	2.026423974	7.503502967
0.115059328	0.57785268	0.725128086	2.352641815	2.442755409	0.686184208	0.035681979	0.112391766	0.014266748	0.017412325	1.471226013	6.576537162
0.291496312	0.698305004	1.380351829	0.392095696	3.363498915	0.737830497	0.028835999	0.059691363	0.008717734	0.088683702	1.510714924	6.712179106
0.092186039	0.633593651	1.556103711	0.563696217	1.912729975	0.720679587	0.03162911	1.14737465	0.015331413	0.086740279	1.830123473	5.825455546
0.24032241	0.64220994	0.491773489	0.262114776	1.726913198	1.132861458	0.031091734	0.268580823	0.045837881	0.086257255	3.702006734	5.961843733
0.321228596	0.517583444	0.758875931	0.490167282	2.823211443	1.853639803	0.081625884	0.309463733	0.06586523	0.112936487	1.402312238	9.151947454
0.190806499	1.657787803	1.004760535	0.643126852	1.677546903	0.958326207	0.043987066	0.043101743	0.089737582	0.050380671	2.39568042	8.625230934
0.161186487	1.819064321	1.490578755	0.609571892	1.745967658	0.693729386	0.049766327	0.854483333	0.014398953	0.021536574	1.362885214	8.807137918
0.234462353	0.647797012	0.591255289	0.885598754	2.045376251	1.606790908	0.055952439	0.060876832	0.021498063	0.059397186	2.618503622	9.094022265
0.24035073	0.508031676	2.012814674	0.56491206	2.505396359	1.532982311	0.080358977	0.048668126	0.079493556	0.02450564	1.260143031	6.31155939
0.091886498	1.564973599	0.81802478	1.353002964	1.987731919	0.794830089	0.041226425	0.045296886	0.007576841	0.059205744	2.115878831	6.811401961
0.189220089	0.968902611	2.612221662	0.291148227	2.055516926	1.271430214	0.095113385	0.167130643	0.026245507	0.120196079	1.305160768	7.120952221
0.389412618	0.659432242	0.540932952	0.337900018	3.417364125	0.688283582	0.070506893	0.255042273	0.014749164	0.128959601	2.631155135	5.288887562
0.05909219	0.66370019	1.978450346	1.60923381	2.390444482	0.497339522	0.082938672	0.106519895	0.007753692	0.048294557	1.792047171	8.482558981
0.055589294	1.001376033	1.8114457	0.950081676	2.460613759	0.520536032	0.084426517	0.111034117	0.08476787	0.120530296	2.04613531	8.150381784
0.150281202	0.556515861	1.258726293	1.15069093	2.425862261	0.611619359	0.092995809	1.116477131	0.008834418	0.086997575	1.836791969	5.280601616
0.376728417	0.691709085	0.550446011	1.370462046	2.394899363	1.533906118	0.056871456	0.469971413	0.004927148	0.024666344	2.014383928	7.648463216
0.078765531	3.045350013	0.616263374	0.230790832	2.451043728	0.844646708	0.062502313	0.168038092	0.010481699	0.014759353	2.097471469	8.732194738
0.161048273	0.565553057	0.776225531	0.363631812	4.427892429	0.710397788	0.103796604	0.926258473	0.025570822	0.148810928	1.473624824	5.266469391
